"ledger_id","record_type","status","reference","title","timestamp","evidence_url"
"1","completion","complete","backend#1422","Backend autonomy control plane","",""
"2","completion","complete","frontend#663","Frontend governed 8-lane control plane","",""
"3","completion","complete","frontend#493","Frontend autonomous integration","",""
"4","completion","complete","","Queue-label contradiction repair","",""
"5","completion","complete","","Provider-free autonomy proof","",""
"6","completion","complete","","Paid API Stage A","",""
"7","completion","complete","","Paid API Stage B — two concurrent real jobs","",""
"8","completion","complete","","Paid execution Budget Governor proof","",""
"9","completion","complete","backend#1423","PR #1423 deterministic worker tests — 87 passed","",""
"10","completion","complete","backend#1423","PR #1423 BUILD-088E exact-head validation","",""
"11","completion","complete","backend#1423","PR #1423 workflow-governance audit","",""
"12","completion","complete","backend#1423","PR #1423 Calyx conversation validation","",""
"13","completion","complete","backend#1423","PR #1423 CALYX-AGENT-003 validation","",""
"14","completion","complete","Brain#140","Two-week completion program","",""
"15","completion","complete","Brain#140","Continuous-completion/refill directive","",""
"16","completion","complete","frontend#662","Paid-execution authorization encoded","",""
"17","completion","complete","","Execution reservoir populated","",""
"","active","running","frontend#661","Canonical multi-lane coding dispatch / real oc-running proof","",""
"","active","running","frontend#662","Budget Governor + shared context + model router","",""
"","active","running","backend#608 / PR#1423","Worker integration / Stage C","",""
"","active","queued","frontend#166","Featured Genus media/context recovery","",""
"","active","queued","frontend#167","Thematic Earth/Atlas redesign","",""
"","active","queued","frontend#168","Frontend/backend contract recovery","",""
"","active","queued","frontend#169","Relationship / Knowledge Graph convergence","",""
"","active","queued","frontend#170","Contextual Public Calyx","",""
"","active","queued","frontend#610","Calyx Field / Lance pilot","",""
"","active","queued","frontend#243","Conservatory/OASIS + Buying Companion","",""
